,FALSE,0,1
All Kinds of Hotels,FALSE,-1,4
All Kinds of Hotels,FALSE,0,7
All Kinds of Hotels,FALSE,1000,1
All Kinds of Hotels,FALSE,100000,1
All Kinds of Hotels,FALSE,104000,1
All Kinds of Hotels,FALSE,105000,1
All Kinds of Hotels,FALSE,110000,1
All Kinds of Hotels,FALSE,114000,1
All Kinds of Hotels,FALSE,135000,1
All Kinds of Hotels,FALSE,138000,1
All Kinds of Hotels,FALSE,14000,1
All Kinds of Hotels,FALSE,148000,1
All Kinds of Hotels,FALSE,148999,1
All Kinds of Hotels,FALSE,150000,1
All Kinds of Hotels,FALSE,152000,1
All Kinds of Hotels,FALSE,154000,1
All Kinds of Hotels,FALSE,18000,1
All Kinds of Hotels,FALSE,187000,2
All Kinds of Hotels,FALSE,19000,3
All Kinds of Hotels,FALSE,20000,1
All Kinds of Hotels,FALSE,207000,1
All Kinds of Hotels,FALSE,21000,1
All Kinds of Hotels,FALSE,22000,2
All Kinds of Hotels,FALSE,235000,1
All Kinds of Hotels,FALSE,26000,2
All Kinds of Hotels,FALSE,28000,1
All Kinds of Hotels,FALSE,30000,1
All Kinds of Hotels,FALSE,31000,1
All Kinds of Hotels,FALSE,33000,1
All Kinds of Hotels,FALSE,36000,1
All Kinds of Hotels,FALSE,37000,2
All Kinds of Hotels,FALSE,377000,1
All Kinds of Hotels,FALSE,38000,1
All Kinds of Hotels,FALSE,39000,2
All Kinds of Hotels,FALSE,414000,1
All Kinds of Hotels,FALSE,46000,1
All Kinds of Hotels,FALSE,47000,1
All Kinds of Hotels,FALSE,49000,1
All Kinds of Hotels,FALSE,51000,2
All Kinds of Hotels,FALSE,64000,1
All Kinds of Hotels,FALSE,65000,1
All Kinds of Hotels,FALSE,66000,1
All Kinds of Hotels,FALSE,69000,1
All Kinds of Hotels,FALSE,7000,1
All Kinds of Hotels,FALSE,70000,1
All Kinds of Hotels,FALSE,71000,1
All Kinds of Hotels,FALSE,73000,1
All Kinds of Hotels,FALSE,77000,1
All Kinds of Hotels,FALSE,78000,1
All Kinds of Hotels,FALSE,8000,1
All Kinds of Hotels,FALSE,87000,1
All Kinds of Hotels,FALSE,89000,1
All Kinds of Hotels,FALSE,96000,1
All Kinds of Hotels,TRUE,-1,52
All Kinds of Hotels,TRUE,-2,1
All Kinds of Hotels,TRUE,0,47
All Kinds of Hotels,TRUE,1000,12
All Kinds of Hotels,TRUE,10000,2
All Kinds of Hotels,TRUE,100000,2
All Kinds of Hotels,TRUE,102000,1
All Kinds of Hotels,TRUE,105000,1
All Kinds of Hotels,TRUE,110000,1
All Kinds of Hotels,TRUE,118000,1
All Kinds of Hotels,TRUE,12000,2
All Kinds of Hotels,TRUE,13000,3
All Kinds of Hotels,TRUE,14000,1
All Kinds of Hotels,TRUE,146000,1
All Kinds of Hotels,TRUE,15000,1
All Kinds of Hotels,TRUE,157000,1
All Kinds of Hotels,TRUE,160000,1
All Kinds of Hotels,TRUE,162000,2
All Kinds of Hotels,TRUE,165000,1
All Kinds of Hotels,TRUE,178000,1
All Kinds of Hotels,TRUE,18000,2
All Kinds of Hotels,TRUE,182000,1
All Kinds of Hotels,TRUE,186000,1
All Kinds of Hotels,TRUE,2000,6
All Kinds of Hotels,TRUE,202000,1
All Kinds of Hotels,TRUE,220000,1
All Kinds of Hotels,TRUE,25000,1
All Kinds of Hotels,TRUE,251000,1
All Kinds of Hotels,TRUE,28000,2
All Kinds of Hotels,TRUE,29000,1
All Kinds of Hotels,TRUE,3000,2
All Kinds of Hotels,TRUE,31000,1
All Kinds of Hotels,TRUE,311000,1
All Kinds of Hotels,TRUE,32000,1
All Kinds of Hotels,TRUE,33000,1
All Kinds of Hotels,TRUE,34000,1
All Kinds of Hotels,TRUE,35000,1
All Kinds of Hotels,TRUE,36000,2
All Kinds of Hotels,TRUE,38000,1
All Kinds of Hotels,TRUE,39000,1
All Kinds of Hotels,TRUE,4000,1
All Kinds of Hotels,TRUE,41000,2
All Kinds of Hotels,TRUE,42000,1
All Kinds of Hotels,TRUE,424000,1
All Kinds of Hotels,TRUE,43000,1
All Kinds of Hotels,TRUE,44000,1
All Kinds of Hotels,TRUE,47000,1
All Kinds of Hotels,TRUE,49000,3
All Kinds of Hotels,TRUE,5000,1
All Kinds of Hotels,TRUE,50000,2
All Kinds of Hotels,TRUE,51000,1
All Kinds of Hotels,TRUE,52000,1
All Kinds of Hotels,TRUE,54000,1
All Kinds of Hotels,TRUE,6000,1
All Kinds of Hotels,TRUE,60000,1
All Kinds of Hotels,TRUE,61000,2
All Kinds of Hotels,TRUE,63000,2
All Kinds of Hotels,TRUE,64000,1
All Kinds of Hotels,TRUE,65000,1
All Kinds of Hotels,TRUE,66000,1
All Kinds of Hotels,TRUE,68000,1
All Kinds of Hotels,TRUE,70000,2
All Kinds of Hotels,TRUE,71000,1
All Kinds of Hotels,TRUE,72000,1
All Kinds of Hotels,TRUE,73000,2
All Kinds of Hotels,TRUE,74000,1
All Kinds of Hotels,TRUE,75000,1
All Kinds of Hotels,TRUE,79000,1
All Kinds of Hotels,TRUE,8000,4
All Kinds of Hotels,TRUE,84000,2
All Kinds of Hotels,TRUE,9000,4
All Kinds of Hotels,TRUE,90000,1
All Kinds of Hotels,TRUE,94000,1
All Kinds of Hotels,TRUE,97000,2
All Kinds of Hotels,TRUE,99000,1
BAR-REST 50-100,FALSE,-2,1
