,Itinerary,Demand_solution,Demand,Possible flights,Demand_not_met,Percentage_demand_met,No_of_flights
0,4844**I******20020920,14.2513,14.2513,['LX0015520020920BOMZRHY'],3.31E-10,100,1
1,5300PKIKHIORD20020920,9.687500002,9.6875,['LX0015520020920BOMZRHY'],-1.74E-09,100,1
2,15202**ITLVZRH20020920,7.4701,7.4701,['LX0015520020920BOMZRHY'],-1.93E-11,100,1
3,3228**I******20020920,6.5098,6.5098,['LX0016820020920ZRHNRTY'],-5.46E-11,100,1
4,3554PKIKHIDXB20020920,6.1326,6.1326,['LX0016820020920ZRHNRTY'],5.23E-11,100,1
5,11514CHIDXBZRH20020920,5.5244,5.5244,['LX0006420020920ZRHMIAY'],-2.10E-12,100,1
6,5387**IEZEZRH20020919,5.4596,5.4596,['LX0009520020919GRUZRHY'],1.16E-10,100,1
7,8616**ITLVZRH20020920,5.1998,5.1998,"['LX0024720020920KHIDXBY', 'LX0024720020920DXBZRHY']",-3.22E-11,100,2
8,1424**I******20020920,5.1471,5.1471,['LX0064720020920CDGZRHY'],4.42E-11,100,1
9,14192**I******20020920,4.8986,4.8986,['LX0009520020919GRUZRHY'],1.24E-10,100,1
10,7061**I******20020920,4.5505,4.5505,"['LX0024720020920KHIDXBY', 'LX0024720020920DXBZRHY']",4.45E-11,100,2
11,5300**IKHIORD20020920,4.4946,4.4946,['LX0009520020919GRUZRHY'],-4.91E-10,100,1
12,5000CHIDXBZRH20020920,4.3807,4.3807,['LX0015520020920BOMZRHY'],5.70E-11,100,1
13,7981CHIZRHPRG20020920,4.3807,4.3807,['LX0006420020920ZRHMIAY'],8.15E-11,100,1
14,379**I******20020920,4.239,4.239,['LX0006420020920ZRHMIAY'],-2.36E-11,100,1
15,5351**I******20020920,4.0222,4.0222,['LX0006420020920ZRHMIAY'],-9.61E-12,100,1
16,18968**I******20020920,3.9658,3.9658,['LX0064720020920CDGZRHY'],-6.19E-11,100,1
17,11514AEIDXBZRH20020920,3.9267,3.9267,"['LX0130520020920OSLZRHY', 'LX0056220020920ZRHNCEY']",-5.26E-12,100,2
18,21635**I******20020920,3.8992,3.8992,['LX0016820020920ZRHNRTY'],1.85E-11,100,1
19,3018BRIEZEGRU20020919,3.89,3.89,['LX0016820020920ZRHNRTY'],-2.04E-11,100,1
20,35755CHIZRHPRG20020920,3.8677,3.8677,['LX0016820020920ZRHNRTY'],1.13E-10,100,1
21,1626**I******20020920,3.7229,3.7229,['LX0280520020920GVAZRHY'],7.94E-11,100,1
22,745AEIKHIDXB20020920,3.671,3.671,['LX0280520020920GVAZRHY'],1.71E-11,100,1
23,359**I******20020920,3.6228,3.6228,['LX0280520020920GVAZRHY'],3.10E-10,99.99999999,1
24,3819CHIZRHPRG20020920,3.6009,3.6009,"['LX0024720020920KHIDXBY', 'LX0024720020920DXBZRHY', 'LX0006420020920ZRHMIAY']",6.25E-11,100,3
25,1626INIBOMZRH20020920,3.5735,3.5735,['LX0056220020920ZRHNCEC'],9.04E-11,100,1
26,324**I******20020920,3.4221,3.4221,"['LX0024720020920KHIDXBC', 'LX0024720020920DXBZRHC']",2.43E-11,100,2
27,1935INIBOMZRH20020920,3.3825,3.3825,['LX0280520020920GVAZRHY'],4.77E-11,100,1
28,4904CHIZRHPRG20020920,3.3768,3.3768,['LX0015520020920BOMZRHY'],4.88E-11,100,1
29,28179CHIZRHJER20020920,3.3324,3.3324,['LX0009520020919GRUZRHY'],4.49E-11,100,1
30,7981**IZRHPRG20020920,3.2858,3.2858,['LX0006420020920ZRHMIAY'],6.16E-11,100,1
31,5730CHIZRHDME20020920,3.2654,3.2654,['LX0009520020919GRUZRHY'],-1.46E-10,100,1
32,888**I******20020920,3.2599,3.2599,['LX0015520020920BOMZRHY'],3.12E-11,100,1
33,745PKIKHIDXB20020920,3.2428,3.2428,['LX0009520020919GRUZRHC'],3.92E-11,100,1
34,11025BEIBRUZRH20020920,3.217,3.217,['LX0024720020920DXBZRHY'],2.71E-11,100,1
35,39537CHIGCIZRH20020920,3.207,3.207,['LX0024720020920DXBZRHY'],4.55E-11,100,1
36,8616**I******20020920,3.1905,3.1905,['LX0006420020920ZRHMIAC'],-5.15E-11,100,1
37,8103**I******20020920,3.1786,3.1786,"['LX0024720020920KHIDXBY', 'LX0024720020920DXBZRHY']",-3.35E-11,100,2
38,11351**I******20020919,3.1692,3.1692,['LX0015520020920BOMZRHY'],2.20E-11,100,1
