,Flight,Capacity
0,LX0006420020920ZRHMIAF,6
1,LX0006420020920ZRHMIAC,23
2,LX0006420020920ZRHMIAY,120
3,LX0009520020919EZEGRUF,12
4,LX0009520020919EZEGRUC,50
5,LX0009520020919EZEGRUY,200
6,LX0009520020919GRUZRHF,9
7,LX0009520020919GRUZRHC,23
8,LX0009520020919GRUZRHY,158
9,LX0015520020920BOMZRHF,13
10,LX0015520020920BOMZRHC,41
11,LX0015520020920BOMZRHY,130
12,LX0016820020920ZRHNRTF,3
13,LX0016820020920ZRHNRTC,18
14,LX0016820020920ZRHNRTY,30
15,LX0024720020920KHIDXBF,11
16,LX0024720020920KHIDXBC,49
17,LX0024720020920KHIDXBY,177
18,LX0024720020920DXBZRHF,11
19,LX0024720020920DXBZRHC,47
20,LX0024720020920DXBZRHY,174
21,LX0025720020920TLVZRHC,32
22,LX0025720020920TLVZRHY,90
23,LX0039820020920ZRHJERC,8
24,LX0039820020920ZRHJERY,39
25,LX0039820020920JERGCIC,8
26,LX0039820020920JERGCIY,43
27,LX0039820020920GCIZRHC,8
28,LX0039820020920GCIZRHY,42
29,LX0048520020920LCYBSLC,6
30,LX0048520020920LCYBSLY,47
31,LX0056220020920ZRHNCEC,20
32,LX0056220020920ZRHNCEY,78
33,LX0064720020920CDGZRHC,60
34,LX0064720020920CDGZRHY,96
35,LX0077120020920BRUZRHC,31
36,LX0077120020920BRUZRHY,68
37,LX0108120020920FRAZRHC,18
38,LX0108120020920FRAZRHY,29
39,LX0130520020920OSLZRHC,11
40,LX0130520020920OSLZRHY,145
41,LX0132620020920ZRHDMEC,28
42,LX0132620020920ZRHDMEY,115
43,LX0148620020920ZRHPRGC,9
44,LX0148620020920ZRHPRGY,77
45,LX0280520020920GVAZRHC,57
46,LX0280520020920GVAZRHY,97
47,LX0280720020920GVAZRHC,41
48,LX0280720020920GVAZRHY,60
49,LX0413020020920ZRHBUDC,25
50,LX0413020020920ZRHBUDY,86
51,LX0424220020920ZRHCMBC,30
52,LX0424220020920ZRHCMBY,293
