,Itinerary,Demand
0,20**I******20020920,0.0922
1,20BEIBOMBRU20020920,0.2844
2,20INIBOMBRU20020920,1.1751
3,23**I******20020920,0.0
4,23CHIZRHNRT20020920,0.0
5,69**I******20020920,0.005
6,83**I******20020919,1.4909
7,129**I******20020920,0.006
8,167**I******20020920,0.6249
9,245**I******20020919,0.0073
10,281**I******20020920,0.0803
11,301**I******20020919,0.0
12,324**I******20020920,3.4221
13,344**I******20020920,0.0
14,344CHIZRHMIA20020920,0.0
15,344USIZRHMIA20020920,0.0
16,359**I******20020920,3.6228
17,379**I******20020920,4.239
18,393**I******20020920,0.0027
19,393ESIBCNNRT20020920,0.3737
20,393JPIBCNNRT20020920,0.8687
21,429**IGVATLV20020920,0.2036
22,429CHIGVATLV20020920,0.12
23,429ILIGVATLV20020920,0.3747
24,447**I******20020920,2.1093
25,476CHIZRHNCE20020920,0.0
26,514**I******20020920,0.2826
27,521**I******20020920,0.0353
28,546**I******20020920,0.9456
29,570**I******20020919,2.2755
30,582**I******20020920,1.2129
31,587**I******20020919,1.664
32,596**I******20020920,2.2988
33,617**I******20020919,0.4562
34,642**I******20020920,0.004
35,642AEIDXBVIE20020920,0.256
36,679**I******20020920,0.3854
37,720**I******20020920,0.1882
38,736**I******20020920,0.6558
39,736DEIBOMZRH20020920,0.0346
40,736INIBOMZRH20020920,0.0587
41,745**I******20020920,0.7151
42,745AEIKHIDXB20020920,3.671
43,745PKIKHIDXB20020920,3.2428
44,764**I******20020919,0.6163
45,764ARIEZEGRU20020919,0.018
46,764BRIEZEGRU20020919,0.4002
47,778**I******20020920,0.0963
48,806**I******20020919,0.0434
49,806**IEZEZRH20020919,0.8798
50,806CHIEZEZRH20020919,0.5694
51,842**I******20020920,0.3088
52,842**IZRHPRG20020920,1.667
53,842CHIZRHPRG20020920,1.0519
54,872**I******20020920,0.106
55,872**IBRUJNB20020920,0.3002
56,872BEIBRUJNB20020920,0.5546
57,872GBIBRUJNB20020920,0.0037
58,872ZAIBRUJNB20020920,1.0279
59,888**I******20020920,3.2599
60,888CHIOSLZRH20020920,0.5877
61,888NOIOSLZRH20020920,2.6969
62,894**I******20020920,0.0547
63,896**I******20020920,0.0
64,896CHIZRHNRT20020920,0.0
65,896JPIZRHNRT20020920,0.0
66,906**I******20020919,0.0222
67,910**I******20020920,1.9397
68,916**I******20020920,0.1108
69,992**I******20020920,1.1253
70,1034**I******20020920,0.315
71,1034CHIGVAPRG20020920,0.9015
72,1108**I******20020920,0.0787
73,1157**I******20020920,0.0353
74,1209**I******20020920,0.0
75,1209CHIZRHMIA20020920,0.0
76,1251**I******20020920,1.031
77,1251BEIBRUZRH20020920,1.625
78,1251CHIBRUZRH20020920,0.2595
79,1279**I******20020919,0.4203
80,1332**I******20020920,0.9474
81,1346**I******20020920,0.2806
