,Itinerary,Fare
0,20**I******20020920,378.48
1,20BEIBOMBRU20020920,217.54
2,20INIBOMBRU20020920,539.42
3,23**I******20020920,682.1
4,23CHIZRHNRT20020920,682.1
5,69**I******20020920,185.4
6,83**I******20020919,0.0
7,129**I******20020920,0.0
8,167**I******20020920,283.89
9,245**I******20020919,0.0
10,281**I******20020920,0.0
11,301**I******20020919,325.83
12,324**I******20020920,410.88
13,344**I******20020920,267.38
14,344CHIZRHMIA20020920,299.45
15,344USIZRHMIA20020920,235.3
16,359**I******20020920,397.77
17,379**I******20020920,152.57
18,393**I******20020920,336.42
19,393ESIBCNNRT20020920,336.42
20,393JPIBCNNRT20020920,336.42
21,429**IGVATLV20020920,124.43
22,429CHIGVATLV20020920,174.01
23,429ILIGVATLV20020920,74.84
24,447**I******20020920,578.03
25,476CHIZRHNCE20020920,380.88
26,514**I******20020920,0.0
27,521**I******20020920,181.66
28,546**I******20020920,0.0
29,570**I******20020919,278.88
30,582**I******20020920,409.21
31,587**I******20020919,370.86
32,596**I******20020920,774.08
33,617**I******20020919,462.76
34,642**I******20020920,0.0
35,642AEIDXBVIE20020920,0.0
36,679**I******20020920,267.93
37,720**I******20020920,0.0
38,736**I******20020920,12771.71
39,736DEIBOMZRH20020920,12771.71
40,736INIBOMZRH20020920,33235.9
41,745**I******20020920,78.7
42,745AEIKHIDXB20020920,65.09
43,745PKIKHIDXB20020920,92.3
44,764**I******20020919,210.85
45,764ARIEZEGRU20020919,250.63
46,764BRIEZEGRU20020919,171.06
47,778**I******20020920,636.26
48,806**I******20020919,339.7
49,806**IEZEZRH20020919,339.7
50,806CHIEZEZRH20020919,302.92
51,842**I******20020920,222.96
52,842**IZRHPRG20020920,222.96
53,842CHIZRHPRG20020920,194.0
54,872**I******20020920,290.99
55,872**IBRUJNB20020920,290.99
56,872BEIBRUJNB20020920,279.31
57,872GBIBRUJNB20020920,290.99
58,872ZAIBRUJNB20020920,302.67
59,888**I******20020920,147.82
60,888CHIOSLZRH20020920,137.61
61,888NOIOSLZRH20020920,158.02
62,894**I******20020920,0.0
63,896**I******20020920,561.95
64,896CHIZRHNRT20020920,561.95
65,896JPIZRHNRT20020920,626.83
66,906**I******20020919,328.28
67,910**I******20020920,328.28
