,Itinerary,Flight
0,20**I******20020920,LX0015520020920BOMZRHY
1,20BEIBOMBRU20020920,LX0015520020920BOMZRHY
2,20INIBOMBRU20020920,LX0015520020920BOMZRHY
3,23**I******20020920,LX0016820020920ZRHNRTY
4,23CHIZRHNRT20020920,LX0016820020920ZRHNRTY
5,69**I******20020920,LX0006420020920ZRHMIAY
6,83**I******20020919,LX0009520020919GRUZRHY
7,129**I******20020920,LX0024720020920KHIDXBY
8,129**I******20020920,LX0024720020920DXBZRHY
9,167**I******20020920,LX0064720020920CDGZRHY
10,245**I******20020919,LX0009520020919GRUZRHY
11,281**I******20020920,LX0024720020920KHIDXBY
12,281**I******20020920,LX0024720020920DXBZRHY
13,301**I******20020919,LX0009520020919GRUZRHY
14,324**I******20020920,LX0015520020920BOMZRHY
15,344**I******20020920,LX0006420020920ZRHMIAY
16,344CHIZRHMIA20020920,LX0006420020920ZRHMIAY
17,344USIZRHMIA20020920,LX0006420020920ZRHMIAY
18,359**I******20020920,LX0064720020920CDGZRHY
19,379**I******20020920,LX0130520020920OSLZRHY
20,379**I******20020920,LX0056220020920ZRHNCEY
21,393**I******20020920,LX0016820020920ZRHNRTY
22,393ESIBCNNRT20020920,LX0016820020920ZRHNRTY
23,393JPIBCNNRT20020920,LX0016820020920ZRHNRTY
24,429**IGVATLV20020920,LX0280520020920GVAZRHY
25,429CHIGVATLV20020920,LX0280520020920GVAZRHY
26,429ILIGVATLV20020920,LX0280520020920GVAZRHY
27,447**I******20020920,LX0024720020920KHIDXBY
28,447**I******20020920,LX0024720020920DXBZRHY
29,447**I******20020920,LX0006420020920ZRHMIAY
30,476CHIZRHNCE20020920,LX0056220020920ZRHNCEC
31,514**I******20020920,LX0024720020920KHIDXBC
32,514**I******20020920,LX0024720020920DXBZRHC
33,521**I******20020920,LX0280520020920GVAZRHY
34,546**I******20020920,LX0015520020920BOMZRHY
35,570**I******20020919,LX0009520020919GRUZRHY
36,582**I******20020920,LX0006420020920ZRHMIAY
37,587**I******20020919,LX0009520020919GRUZRHY
38,596**I******20020920,LX0015520020920BOMZRHY
39,617**I******20020919,LX0009520020919GRUZRHC
40,642**I******20020920,LX0024720020920DXBZRHY
41,642AEIDXBVIE20020920,LX0024720020920DXBZRHY
42,679**I******20020920,LX0006420020920ZRHMIAC
43,720**I******20020920,LX0024720020920KHIDXBY
44,720**I******20020920,LX0024720020920DXBZRHY
45,736**I******20020920,LX0015520020920BOMZRHY
46,736DEIBOMZRH20020920,LX0015520020920BOMZRHY
47,736INIBOMZRH20020920,LX0015520020920BOMZRHY
48,745**I******20020920,LX0024720020920KHIDXBY
49,745AEIKHIDXB20020920,LX0024720020920KHIDXBY
50,745PKIKHIDXB20020920,LX0024720020920KHIDXBY
51,764**I******20020919,LX0009520020919EZEGRUY
52,764ARIEZEGRU20020919,LX0009520020919EZEGRUY
53,764BRIEZEGRU20020919,LX0009520020919EZEGRUY
54,778**I******20020920,LX0015520020920BOMZRHY
55,806**I******20020919,LX0009520020919EZEGRUY
56,806**I******20020919,LX0009520020919GRUZRHY
57,806**IEZEZRH20020919,LX0009520020919EZEGRUY
58,806**IEZEZRH20020919,LX0009520020919GRUZRHY
59,806CHIEZEZRH20020919,LX0009520020919EZEGRUY
60,806CHIEZEZRH20020919,LX0009520020919GRUZRHY
61,842**I******20020920,LX0148620020920ZRHPRGY
62,842**IZRHPRG20020920,LX0148620020920ZRHPRGY
63,842CHIZRHPRG20020920,LX0148620020920ZRHPRGY
64,872**I******20020920,LX0077120020920BRUZRHY
65,872**IBRUJNB20020920,LX0077120020920BRUZRHY
66,872BEIBRUJNB20020920,LX0077120020920BRUZRHY
67,872GBIBRUJNB20020920,LX0077120020920BRUZRHY
68,872ZAIBRUJNB20020920,LX0077120020920BRUZRHY
69,888**I******20020920,LX0130520020920OSLZRHY
70,888CHIOSLZRH20020920,LX0130520020920OSLZRHY
71,888NOIOSLZRH20020920,LX0130520020920OSLZRHY
72,894**I******20020920,LX0015520020920BOMZRHY
73,896**I******20020920,LX0016820020920ZRHNRTY
74,896CHIZRHNRT20020920,LX0016820020920ZRHNRTY
75,896JPIZRHNRT20020920,LX0016820020920ZRHNRTY
76,906**I******20020919,LX0148620020920ZRHPRGY
77,910**I******20020920,LX0006420020920ZRHMIAY
78,916**I******20020920,LX0006420020920ZRHMIAY
79,992**I******20020920,LX0025720020920TLVZRHY
80,1034**I******20020920,LX0280520020920GVAZRHY
81,1034**I******20020920,LX0148620020920ZRHPRGY
