 Andhra Pradesh,275045,84580777
 Arunachal Pradesh,83743,1383727
 Assam,78438,31205576
 Bihar,94163,104099452
 Chhattisgarh,135192,25545198
 Goa ,3702,1458545
 Gujarat,196244,60439692
 Haryana,44212,25351462
 Himachal Pradesh,55673,6864602
 Jammu & Kashmir (1) ++,222236,12541302
 Jharkhand,79716,32988134
 Karnataka,191791,61095297
 Kerala,38852,33406061
 Madhya Pradesh,308252,72626809
 Maharashtra,307713,112374333
 Manipur ,22327,2855794
 Meghalaya,22429,2966889
 Mizoram,21081,1097206
 Nagaland,16579,1978502
 Odisha,155707,41974218
 Punjab,50362,27743338
 Rajasthan,342239,68548437
 Sikkim,7096,610577
 Tamil Nadu,130060,72147030
 Tripura,10486,3673917
 Uttar Pradesh,240928,199812341
 Uttarakhand,53483,10086292
 West Bengal,88752,91276115
